Publication;ID;Species;PN Type;Branching Type;Glomerulus Innervation;Additional Innervation;Hemisphere;Driver;Trace Identifier
duerr2024;001;Dsec;adPN;up;VM5d;VM7d;R;VT033006;TA_71_2_RH_PN1_up_d
duerr2024;002;Dsec;adPN;up;DL2d;DC3;L;VT033006;TA_72_8_LH_PN1_up_d
duerr2024;003;Dsec;adPN;up;VM7v;VA3_VM5d;L;VT033006;TA_77_7_LH_PN1_up_d
duerr2024;004;Dsec;adPN;up;VM7v;VM3_VC3l;L;VT033006;TA_79_1_LH_PN1_up_d
duerr2024;005;Dsec;adPN;m;md1;;L;VT033006;TA_79_4_LH_PN1_m_d
duerr2024;006;Dsec;adPN;up;VM5d;VM7d_(VM2);R;VT033006;TA_79_5_RH_PN1_up_d
duerr2024;007;Dsec;adPN;up;VM7v;VM3_DM6;L;VT033006;TA_79_5_LH_PN1_up_d
duerr2024;008;Dsec;adPN;m;md1;;R;VT033006;TA_79_6_RH_PN1_m_d
duerr2024;009;Dsec;adPN;up;DL2d;DC3;R;VT033006;TA_79_8_RH_PN1_up_d
duerr2024;010;Dsec;adPN;up;DM1;DP1l_DP1m;R;VT033006;TA_81_1_RH_PN1_up_d
duerr2024;011;Dsec;adPN;u;DC1;;R;VT033006;TA_93_6_RH_PN1_u_d
duerr2024;012;Dsec;adPN;up;DM6;VM7v_VM2_VM5d;R;VT033006;TA_93_9_RH_PN1_up_d
duerr2024;013;Dsec;adPN;up;VM3;VC4_VC1;L;VT033006;TA_93_10_LH_PN1_up_d
duerr2024;014;Dsec;adPN;m;md2;;L;VT033006;TA_97_1_LH_PN1_m_d
duerr2024;015;Dsec;adPN;up;VC3l;VM5d;L;VT033006;TA_116_5_LH_PN1_up_d
duerr2024;016;Dsec;adPN;up;VM3;VC4_VC1_VC1_DM6;L;VT033006;TA_117_1_LH_PN1_up_d
duerr2024;017;Dsec;adPN;u;VC3l;;R;VT033006;TA_117_4_RH_PN1_u_d
duerr2024;018;Dsec;adPN;up;VC3l;(VA4);L;VT033006;JP_73_6_LH_PN1_up_d
duerr2024;019;Dsec;adPN;up;VC3l;VM5d_VM7d;L;VT033006;JP_73_7_LH_PN1_up_d
duerr2024;020;Dsec;adPN;m;md1;;R;VT033006;JP_74_1_RH_PN1_m_d
duerr2024;021;Dsec;adPN;up;DL2d;DC3;R;VT033006;JP_74_2_RH_PN1_up_d
duerr2024;022;Dsec;adPN;up;VC3l;VM5d_VM7d_VC4;R;VT033006;JP_74_3_RH_PN1_up_d
duerr2024;023;Dsec;adPN;u;DC3;DP1l_DL2d_VL2a;R;VT033006;JP_74_6_RH_PN1_u_d
duerr2024;024;Dsec;adPN;up;VM5d;VC3l;R;VT033006;JP_82_5_RH_PN1_up_d
duerr2024;025;Dsec;adPN;up;VM3;VC4_VC1_DM6;L;VT033006;JP_82_6_LH_PN1_up_d
duerr2024;026;Dsec;adPN;u;VC3l;;L;VT033006;JP_83_5_LH_PN1_u_d
duerr2024;027;Dsec;adPN;up;DM6;VM7v;L;VT033006;JP_84_3_LH_PN1_up_d
duerr2024;028;Dsec;adPN;u;DM1;DM4;R;VT033006;JP_84_4_RH_PN1_u_d
duerr2024;029;Dsec;adPN;up;VC3l;(VM3);L;VT033006;JP_84_4_LH_PN1_up_d
